ts,cpu_total_pct,ffmpeg_rec_pct,feeder_pct,chromium_pct,sshd_pct,mem_avail_mb,temp_c
20:45:47,27.0,4.4,0.0,0.6,0.0,212,61.6
20:45:59,27.3,4.3,0.0,1.2,0.0,212,61.1
20:46:10,26.1,4.3,0.0,0.2,0.0,212,61.6
20:46:21,27.0,4.5,0.0,0.8,0.0,212,61.6
20:46:32,26.6,4.4,0.0,0.5,0.0,212,61.6
20:46:44,26.0,4.3,0.0,0.1,0.0,212,61.1
20:46:55,26.4,4.3,0.0,0.4,0.0,212,61.1
20:47:06,27.0,4.4,0.0,1.3,0.0,212,61.6
20:47:17,25.9,4.2,0.0,0.1,0.0,212,61.6
20:47:29,39.2,4.3,0.0,0.8,0.0,212,61.6
20:47:40,26.8,4.3,0.0,0.1,0.0,212,61.6
20:47:51,26.7,4.4,0.0,0.6,0.0,212,61.1
20:48:02,27.4,4.4,0.0,1.2,0.0,212,61.6
20:48:14,26.2,4.3,0.0,0.3,0.0,212,61.1
20:48:25,28.0,4.4,0.0,1.2,0.0,212,61.6
20:48:36,26.3,4.4,0.0,0.3,0.0,212,61.6
20:48:47,26.6,4.3,0.0,0.1,0.0,211,61.6
20:49:00,26.1,4.3,0.0,1.1,0.0,212,61.1
20:49:12,29.5,4.4,0.0,0.1,0.0,212,60.5
20:49:23,29.3,4.2,0.0,1.4,0.0,212,61.1
20:49:34,25.9,4.4,0.0,0.1,0.0,212,61.6
20:49:46,26.5,4.4,0.0,0.6,0.0,212,61.1
20:49:57,26.9,4.3,0.0,1.0,0.0,212,61.6
20:50:08,27.7,4.3,0.0,1.2,0.0,212,60.5
20:50:20,46.9,-512.6,0.0,0.7,0.0,213,61.6
20:50:33,99.9,0.0,0.0,0.3,3.3,221,62.7
20:50:45,60.6,0.0,0.0,0.1,-3.1,226,61.6
20:50:56,12.2,0.0,0.0,0.6,0.0,226,61.6
20:51:07,13.4,0.0,0.0,1.4,0.0,226,61.6
20:51:18,11.3,0.0,0.0,0.1,0.0,226,61.6
20:51:29,11.9,0.0,0.0,0.7,0.0,226,60.5
20:51:40,11.3,0.0,0.0,0.2,0.0,226,60.5
20:51:52,11.8,0.0,0.0,0.6,0.0,226,60.5
20:52:03,13.3,0.0,0.0,1.2,0.0,226,60.5
20:52:14,10.8,0.0,0.0,0.1,0.0,226,61.1
20:52:25,12.5,0.0,0.0,0.7,0.0,226,61.1
20:52:36,11.1,0.0,0.0,0.3,0.0,226,60.5
20:52:47,25.4,0.0,0.0,0.2,0.0,226,61.1
20:52:58,12.8,0.0,0.0,1.1,0.0,226,61.1
20:53:10,92.7,0.0,0.0,-1043.5,4.8,312,61.6
20:53:23,89.7,0.0,0.0,-813.1,0.0,347,61.6
20:53:35,97.0,0.0,0.0,63.9,0.0,328,62.1
20:53:47,99.4,0.0,0.0,48.8,0.0,308,62.1
20:53:59,100.0,0.0,0.0,95.7,0.0,282,62.7
20:54:12,100.0,0.0,0.0,87.9,0.0,278,62.7
20:54:24,100.0,0.0,0.0,65.9,0.0,268,62.7
20:54:36,100.0,0.0,0.0,88.9,0.0,246,63.8
20:54:50,100.0,0.0,0.0,92.0,-4.2,190,63.2
20:55:02,100.0,0.0,0.0,82.2,0.0,178,62.7
20:55:14,100.0,0.0,0.0,89.1,0.0,179,63.2
20:55:26,100.0,0.0,0.0,88.6,0.0,163,63.2
20:55:38,100.0,0.0,0.0,90.6,0.0,186,63.2
20:55:51,100.0,0.0,0.0,89.2,0.0,183,63.2
20:56:03,100.0,0.0,0.0,80.4,4.5,182,62.7
20:56:16,100.0,0.0,0.0,89.1,0.0,175,63.8
20:56:28,100.0,0.0,0.0,69.6,-0.2,212,62.7
20:56:41,100.0,0.0,0.0,89.0,-4.3,213,63.8
20:56:54,100.0,0.0,0.0,79.3,4.0,213,63.8
20:57:06,98.9,0.0,0.0,-1214.6,0.1,355,63.8
20:57:17,93.1,0.0,0.0,11.2,0.0,348,63.8
20:57:31,74.6,0.0,0.0,49.6,0.0,333,62.7
20:57:43,99.8,0.0,0.0,49.3,0.0,314,63.2
20:57:55,100.0,0.0,0.0,95.8,0.0,286,62.7
20:58:08,100.0,0.0,0.0,89.4,0.0,282,62.7
20:58:20,100.0,0.0,0.0,67.9,0.0,276,63.2
20:58:32,100.0,0.0,0.0,87.7,-4.1,220,63.8
20:58:44,100.0,0.0,0.0,90.7,0.0,206,63.8
20:58:56,100.0,0.0,0.0,86.3,0.0,180,63.2
20:59:09,100.0,0.0,0.0,89.8,0.0,203,63.8
20:59:21,100.0,0.0,0.0,89.7,0.0,198,63.8
20:59:32,59.3,0.0,0.0,46.1,0.0,232,63.2
20:59:43,12.6,0.0,0.0,0.6,0.0,232,62.1
20:59:54,22.4,0.0,0.0,1.4,5.2,230,61.6
21:00:06,37.4,0.0,0.0,0.9,-0.2,231,62.1
21:00:18,70.7,0.0,0.0,68.9,0.1,231,62.1
21:00:29,28.6,0.0,0.0,10.0,-4.5,232,62.1
